"party","parfam","partyname"
80902,40,"National Movement Simeon the Second"
80610,40,"Democrats for a Strong Bulgaria"
80710,70,"National Union Attack"
80813,80,"Bulgarian People's Union"
80051,50,"Blue Coalition"
80510,50,"Citizens for European Development of Bulgaria"
80620,60,"Order, Law and Justice"
80061,60,"Reformist bloc"
80062,60,"Patriotic Front - NFSB and VMRO"
80221,30,"BSP-Left Bulgaria"
80330,30,"Alternative for Bulgarian Revival"
80630,60,"Bulgaria without Censorship"
80071,70,"United Patriots"
80221,30,"BSP for Bulgaria"
80640,60,"Will"
81111,10,"Green Alliance of Croatia"
81112,10,"Green Action of Split"
81220,20,"League of Communists of Croatia - Party of Democratic Changes"
81221,20,"Socialist Party of Croatia"
81222,20,"Union of Socialist Youth of Croatia"
81229,20,"League of Communists of Croatia - Party of Democratic Changes and Socialist Party of Croatia"
81420,40,"Coalition of People’s Accord"
81711,70,"Croatian Democratic Union"
81220,20,"Social Democratic Party of Croatia - Party of Democratic Changes"
81410,40,"Croatian Social-Liberal Party"
81712,40,"Croatian People’s Party"
81713,70,"Croatian Party of Rights"
81810,80,"Croatian Peasant Party"
81951,90,"Serbian People’s Party"
81953,90,"Istrian Democratic Assembly"
81954,90,"Dalmatian Action"
81955,90,"Democratic Alliance of Rijeka"
81959,90,"Coalititon of Dalmatian Action, Istrian Democratic Assembly and Democratic Alliance of Rijeka"
81220,20,"Social Democratic Party of Croatia"
81430,40,"Croatian Independent Democrats"
81899,90,"Joint List Bloc"
81956,90,"Croatian Party of Slavonia and Baranja"
81021,98,"Coalition of the Social Democratic Party of Croatia and the Croatian Social-liberal Party"
81411,40,"Liberal Party"
